작업신고번호,공사현장명,위치_소재지,건물명_설비명,해체제거업자사업체명,해체시작년월일,해체종료년월일,변경사유발생일자,순번,종류명,면적_부피_길이(제곱미터)
부 산 청-20220237,남구 석포로 63 슬레이트 해체공사,"(48491)부산광역시 남구 석포로 63 외 1필지 (감만동, )",대연종합설비 외,성수개발,2022-06-30,2022-07-02,,3,천장재,
부 산 청-20220237,남구 석포로 63 슬레이트 해체공사,"(48491)부산광역시 남구 석포로 63 외 1필지 (감만동, )",대연종합설비 외,성수개발,2022-06-30,2022-07-02,,10,기타,0.01 ㎡
부 산 청-20220237,남구 석포로 63 슬레이트 해체공사,"(48491)부산광역시 남구 석포로 63 외 1필지 (감만동, )",대연종합설비 외,성수개발,2022-06-30,2022-07-02,,10,기타,4.6 ㎡
부 산 청-20220237,남구 석포로 63 슬레이트 해체공사,"(48491)부산광역시 남구 석포로 63 외 1필지 (감만동, )",대연종합설비 외,성수개발,2022-06-30,2022-07-02,,5,벽   재,1.61 ㎡
부 산 청-20220237,남구 석포로 63 슬레이트 해체공사,"(48491)부산광역시 남구 석포로 63 외 1필지 (감만동, )",대연종합설비 외,성수개발,2022-06-30,2022-07-02,,4,지붕재,163.03 ㎡
부 산 청-20220237,남구 석포로 63 슬레이트 해체공사,"(48491)부산광역시 남구 석포로 63 외 1필지 (감만동, )",대연종합설비 외,성수개발,2022-06-30,2022-07-02,,3,천장재,
부 산 청-20220198,용호2치안센터 석면제거공사,(48592)부산광역시 남구 용호로 215 용호순찰지구대 (용호동 542-1),용호2치안센터,주식회사프로해즈맷(ProHazMat),2022-05-28,2022-06-20,,3,천장재,88.92 ㎡
부 산 청-20220197,"남구 진남로 167-1, 1층 리모델링공사","(48446)부산광역시 남구 진남로 167-1 (문현동, GS25)",남구 진남로 167-1,(주)공간산업개발,2022-05-30,2022-06-05,,3,천장재,143 ㎡
부 산 청-20220190,"대연동 29-9, 29-17번지 철거공사","(48509)부산광역시 남구 용소로7번길 105(대연동) 용소로7번길 101 (대연동 29-9, 29-17번지)",구세군 부산요양병원,명작건설주식회사,2022-05-24,2022-06-10,,3,천장재,226.12 ㎡
부 산 청-20220193,대연3구역 주택재개발 정비사업 석면해체 및 처리(3차),(48462)부산광역시 남구 신정번영로45번길 5-3 (대연동) 일원,대연3구역 주택재개발 정비사업,(주)대길공영,2022-05-24,2022-06-30,,9,개스킷,0.02 ㎡
부 산 청-20220193,대연3구역 주택재개발 정비사업 석면해체 및 처리(3차),(48462)부산광역시 남구 신정번영로45번길 5-3 (대연동) 일원,대연3구역 주택재개발 정비사업,(주)대길공영,2022-05-24,2022-06-30,,3,천장재,361.73 ㎡
부 산 청-20220193,대연3구역 주택재개발 정비사업 석면해체 및 처리(3차),(48462)부산광역시 남구 신정번영로45번길 5-3 (대연동) 일원,대연3구역 주택재개발 정비사업,(주)대길공영,2022-05-24,2022-06-30,,4,지붕재,306.76 ㎡
부 산 청-20220193,대연3구역 주택재개발 정비사업 석면해체 및 처리(3차),(48462)부산광역시 남구 신정번영로45번길 5-3 (대연동) 일원,대연3구역 주택재개발 정비사업,(주)대길공영,2022-05-24,2022-06-30,,5,벽   재,27.2 ㎡
부 산 청-20220175,"남구 진남로 4, 2층 석면해체제거공사",(48445)부산광역시 남구 진남로 4 (대연동),대연빌딩,(주)비엔디건설산업,2022-05-16,2022-05-31,,3,천장재,239.88 ㎡
부 산 청-20220174,용호로 181-1 슬레이트해체공사,(48587)부산광역시 남구 용호로 181-1 (용호동),남구 용호로 181-1,주식회사프로해즈맷(ProHazMat),2022-05-13,2022-05-25,,4,지붕재,296.26 ㎡
부 산 청-20220174,용호로 181-1 슬레이트해체공사,(48587)부산광역시 남구 용호로 181-1 (용호동),남구 용호로 181-1,주식회사프로해즈맷(ProHazMat),2022-05-13,2022-05-25,,3,천장재,
부 산 청-20220131,이기대공원 폐건축물 석면해체제거공사,(608-090)부산광역시 남구 용호동 산27,용호동 산27,(주)금광환경,2022-04-19,2022-04-25,,4,지붕재,164.26 ㎡
부 산 청-20220131,이기대공원 폐건축물 석면해체제거공사,(608-090)부산광역시 남구 용호동 산27,용호동 산27,(주)금광환경,2022-04-19,2022-04-25,,3,천장재,
부 산 청-20220131,이기대공원 폐건축물 석면해체제거공사,(608-090)부산광역시 남구 용호동 산27,용호동 산27,(주)금광환경,2022-04-19,2022-04-25,,10,기타,397.06 ㎡
부 산 청-20220131,이기대공원 폐건축물 석면해체제거공사,(608-090)부산광역시 남구 용호동 산27,용호동 산27,(주)금광환경,2022-04-19,2022-04-25,,5,벽   재,26.41 ㎡
